"database","table","start_time","end_time","queries"
"business","business.ntlm_log","2026-01-20 01:00:00","2026-01-20 01:30:00",3
"business","business.ntlm_log","2026-01-20 01:30:00","2026-01-20 02:00:00",1
"business","business.ntlm_log","2026-01-20 03:30:00","2026-01-20 04:00:00",1
"business","business.ntlm_log","2026-01-20 15:30:00","2026-01-20 16:00:00",1
"business","business.ntlm_log","2026-01-20 23:00:00","2026-01-20 23:30:00",2
"business","business.ntlm_log","2026-01-21 01:00:00","2026-01-21 01:30:00",3
"business","business.ntlm_log","2026-01-21 01:30:00","2026-01-21 02:00:00",1
"business","business.ntlm_log","2026-01-21 03:30:00","2026-01-21 04:00:00",1
"business","business.ntlm_log","2026-01-21 15:30:00","2026-01-21 16:00:00",1
"business","business.ntlm_log","2026-01-21 23:00:00","2026-01-21 23:30:00",2
"business","business.ntlm_log","2026-01-22 01:00:00","2026-01-22 01:30:00",3
"business","business.ntlm_log","2026-01-22 03:00:00","2026-01-22 03:30:00",15
"business","business.ntlm_log","2026-01-22 03:30:00","2026-01-22 04:00:00",1
"business","business.ntlm_log","2026-01-22 07:30:00","2026-01-22 08:00:00",15
"business","business.ntlm_log","2026-01-22 10:30:00","2026-01-22 11:00:00",1
"business","business.ntlm_log","2026-01-22 15:30:00","2026-01-22 16:00:00",1
"business","business.ntlm_log","2026-01-22 23:00:00","2026-01-22 23:30:00",2
"business","business.ntlm_log","2026-01-23 01:00:00","2026-01-23 01:30:00",3
"business","business.ntlm_log","2026-01-23 01:30:00","2026-01-23 02:00:00",1
"business","business.ntlm_log","2026-01-23 03:30:00","2026-01-23 04:00:00",1
"business","business.ntlm_log","2026-01-23 15:30:00","2026-01-23 16:00:00",1
"business","business.ntlm_log","2026-01-23 23:00:00","2026-01-23 23:30:00",2
"business","business.ntlm_log","2026-01-24 01:00:00","2026-01-24 01:30:00",3
"business","business.ntlm_log","2026-01-24 01:30:00","2026-01-24 02:00:00",1
"business","business.ntlm_log","2026-01-24 03:30:00","2026-01-24 04:00:00",1
"business","business.ntlm_log","2026-01-24 15:30:00","2026-01-24 16:00:00",1
"business","business.ntlm_log","2026-01-24 23:00:00","2026-01-24 23:30:00",2
"business","business.ntlm_log","2026-01-25 01:00:00","2026-01-25 01:30:00",3
"business","business.ntlm_log","2026-01-25 01:30:00","2026-01-25 02:00:00",1
"business","business.ntlm_log","2026-01-25 03:30:00","2026-01-25 04:00:00",1
"business","business.ntlm_log","2026-01-25 15:30:00","2026-01-25 16:00:00",1
"business","business.ntlm_log","2026-01-25 23:00:00","2026-01-25 23:30:00",2
"business","business.ntlm_log","2026-01-26 01:00:00","2026-01-26 01:30:00",3
"business","business.ntlm_log","2026-01-26 01:30:00","2026-01-26 02:00:00",1
"business","business.ntlm_log","2026-01-26 03:30:00","2026-01-26 04:00:00",1
"business","business.ntlm_log","2026-01-26 15:30:00","2026-01-26 16:00:00",1
