"database","table","start_time","end_time","queries"
"business","business.oracle_log","2026-01-20 01:00:00","2026-01-20 01:30:00",3
"business","business.oracle_log","2026-01-20 01:30:00","2026-01-20 02:00:00",1
"business","business.oracle_log","2026-01-20 14:30:00","2026-01-20 15:00:00",16
"business","business.oracle_log","2026-01-20 23:00:00","2026-01-20 23:30:00",3
"business","business.oracle_log","2026-01-21 01:00:00","2026-01-21 01:30:00",3
"business","business.oracle_log","2026-01-21 01:30:00","2026-01-21 02:00:00",1
"business","business.oracle_log","2026-01-21 23:00:00","2026-01-21 23:30:00",3
"business","business.oracle_log","2026-01-22 01:00:00","2026-01-22 01:30:00",3
"business","business.oracle_log","2026-01-22 04:30:00","2026-01-22 05:00:00",15
"business","business.oracle_log","2026-01-22 09:00:00","2026-01-22 09:30:00",15
"business","business.oracle_log","2026-01-22 10:30:00","2026-01-22 11:00:00",1
"business","business.oracle_log","2026-01-22 23:00:00","2026-01-22 23:30:00",3
"business","business.oracle_log","2026-01-23 01:00:00","2026-01-23 01:30:00",3
"business","business.oracle_log","2026-01-23 01:30:00","2026-01-23 02:00:00",1
"business","business.oracle_log","2026-01-23 23:00:00","2026-01-23 23:30:00",3
"business","business.oracle_log","2026-01-24 01:00:00","2026-01-24 01:30:00",3
"business","business.oracle_log","2026-01-24 01:30:00","2026-01-24 02:00:00",1
"business","business.oracle_log","2026-01-24 23:00:00","2026-01-24 23:30:00",3
"business","business.oracle_log","2026-01-25 01:00:00","2026-01-25 01:30:00",3
"business","business.oracle_log","2026-01-25 01:30:00","2026-01-25 02:00:00",1
"business","business.oracle_log","2026-01-25 23:00:00","2026-01-25 23:30:00",3
"business","business.oracle_log","2026-01-26 01:00:00","2026-01-26 01:30:00",3
"business","business.oracle_log","2026-01-26 01:30:00","2026-01-26 02:00:00",1
